Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Accuracy Diff (%),Precision Diff (%),Recall Diff (%),F1-score Diff (%),ROC AUC Score Diff (%)
Sampling 10:1_lgb1000,0.974056604,0.592920354,0.703412073,0.643457383,0.963256016,1.188747731,29.30224643,3.076923077,17.30723058,13.63213844
Sampling 10:1_xgb,0.973183089,0.578059072,0.719160105,0.640935673,0.965593248,1.09800363,26.06134372,5.384615385,16.84750337,13.90785395
SMOTENC_lgb1000,0.971960168,0.55952381,0.74015748,0.637288136,0.957110437,0.742417383,16.80895466,12.35059761,14.88959417,15.29182615
ADASYN_lgb1000,0.97091195,0.547244094,0.729658793,0.625421822,0.956224993,0.724966017,16.71513053,15.3526971,16.13123048,16.46421171
SMOTETomek_lgb1000,0.970038435,0.535849057,0.745406824,0.62349067,0.956611448,0.443198263,9.52754717,13.6,11.23073546,13.93139166
SMOTENC_xgb,0.970649895,0.544554455,0.721784777,0.620767494,0.957089093,0.606609325,13.68387835,9.561752988,11.91127139,15.28925502
SMOTE_lgb1000,0.970387841,0.541015625,0.727034121,0.620380739,0.956635757,0.361369591,7.765055668,12.14574899,9.634086077,14.38637441
BorderlineSMOTE_lgb1000,0.973445143,0.594594595,0.635170604,0.614213198,0.9590088,0.686664257,18.62012767,21.6080402,20.06479096,21.3779537
SMOTE_xgb,0.969426974,0.529636711,0.727034121,0.612831858,0.955561413,0.261992953,5.49848662,12.14574899,8.300042994,14.2579135
BorderlineSMOTE_xgb,0.973095737,0.588807786,0.635170604,0.611111111,0.96109713,0.650524033,17.46567387,21.6080402,19.45840313,21.64226538
NeighbourhoodCleaningRule_xgb,0.973619846,0.605898123,0.593175853,0.599469496,0.965417511,0.823156943,24.72634539,10.24390244,17.40829398,17.96019464
AllKNN_xgb,0.974668064,0.632653061,0.569553806,0.599447514,0.965052163,0.749435666,23.96146276,10.15228426,16.69447794,17.94551137
Sampling 10:1_rf,0.969252271,0.52917505,0.690288714,0.599088838,0.960808386,0.689655172,15.40086674,1.153846154,9.218503592,13.34339954
Sampling 10:1_bag,0.967505241,0.508256881,0.727034121,0.598272138,0.955001593,0.508166969,10.83909668,6.538461538,9.069612893,12.65839128
SMOTETomek_xgb,0.96802935,0.514231499,0.711286089,0.5969163,0.956354483,0.235166425,5.108918406,8.4,6.489867841,13.90078741
ADASYN_xgb,0.967854647,0.512333966,0.708661417,0.594713656,0.956798095,0.407793385,9.269567819,12.03319502,10.42919553,16.53401314
OneSidedSelection_lgb1000,0.975890985,0.679180887,0.522309711,0.590504451,0.967052861,0.512820513,18.76775727,4.188481675,10.52635667,18.61002503
AllKNN_lgb1000,0.974143955,0.624633431,0.559055118,0.590027701,0.963179769,0.695259594,22.39010376,8.121827411,14.86072247,17.71667351
NeighbourhoodCleaningRule_lgb1000,0.973183089,0.601092896,0.577427822,0.589022758,0.964887335,0.777928539,23.7371718,7.317073171,15.36226206,17.89541477
