,Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Accuracy Diff (%),Precision Diff (%),Recall Diff (%),F1-score Diff (%),ROC AUC Score Diff (%)
31,bagging_tanh_Sampling 10:1_xgb,0.975279525,0.605150215,0.74015748,0.665879575,0.976885242,0.24241336,6.059427854,-1.742160279,2.550094821,1.083992052
30,bagging_sigmoid_Sampling 10:1_xgb,0.97501747,0.601713062,0.737532808,0.662735849,0.976848719,0.215478542,5.457027957,-2.090592334,2.065939123,1.080212811
28,sigmoid_Sampling 10:1_xgb,0.974318658,0.591578947,0.737532808,0.656542056,0.9740074,0.143652361,3.680909591,-2.090592334,1.112051841,0.786204982
6,bagging_sigmoid_SMOTENC_xgb,0.974143955,0.588726514,0.74015748,0.655813953,0.971307903,0.125695816,3.180988267,-1.742160279,0.999918969,0.506872392
29,tanh_Sampling 10:1_xgb,0.974056604,0.5875,0.74015748,0.655052265,0.974387452,0.116717544,2.966027875,-1.742160279,0.882613605,0.825531183
11,bagging_tanh_ADASYN_xgb,0.973532495,0.578947368,0.750656168,0.653714286,0.970892396,0.062847908,1.46708234,-0.348432056,0.6765555,0.463877382
10,bagging_sigmoid_ADASYN_xgb,0.973532495,0.580246914,0.74015748,0.650519031,0.970768123,0.062847908,1.694842345,-1.742160279,0.18446403,0.451018144
4,sigmoid_SMOTENC_xgb,0.973619846,0.582120582,0.734908136,0.649651972,0.966919932,0.071826181,2.023223974,-2.43902439,0.050930904,0.052823492
0,sigmoid_SMOTETomek_xgb,0.972921034,0.570576541,0.75328084,0.649321267,0.966409441,0,0,0,0,0
5,tanh_SMOTENC_xgb,0.973707198,0.584033613,0.729658793,0.648774796,0.965350157,0.080804453,2.358504377,-3.135888502,-0.084160368,-0.10961028
7,bagging_tanh_SMOTENC_xgb,0.973619846,0.582809224,0.729658793,0.648018648,0.971372649,0.071826181,2.143916318,-3.135888502,-0.200612396,0.513571956
8,sigmoid_ADASYN_xgb,0.972571628,0.565815324,0.755905512,0.647191011,0.967046932,-0.03591309,-0.834457124,0.348432056,-0.328074228,0.065964947
2,bagging_sigmoid_SMOTETomek_xgb,0.972833683,0.570281124,0.745406824,0.646188851,0.970121856,-0.008978273,-0.051775044,-1.045296167,-0.482413893,0.384145197
3,bagging_tanh_SMOTETomek_xgb,0.972921034,0.571717172,0.742782152,0.646118721,0.970342654,0,0.199908493,-1.393728223,-0.493214325,0.406992432
14,bagging_sigmoid_SMOTE_xgb,0.972746331,0.569138277,0.745406824,0.645454545,0.970333405,-0.017956545,-0.252072088,-1.045296167,-0.595502059,0.406035351
15,bagging_tanh_SMOTE_xgb,0.972484277,0.565737052,0.745406824,0.643261608,0.970554914,-0.044891363,-0.848175243,-1.045296167,-0.933229685,0.428956207
9,tanh_ADASYN_xgb,0.972746331,0.569979716,0.737532808,0.643020595,0.968306737,-0.017956545,-0.104600293,-2.090592334,-0.970347396,0.196324246
12,sigmoid_SMOTE_xgb,0.973183089,0.577405858,0.724409449,0.642607683,0.964082289,0.026934818,1.196915137,-3.832752613,-1.033938661,-0.240803958
1,tanh_SMOTETomek_xgb,0.972396925,0.564612326,0.745406824,0.642533937,0.966551501,-0.053869635,-1.045296167,-1.045296167,-1.045296167,0.014699778
25,tanh_OneSidedSelection_xgb,0.97790007,0.696319018,0.595800525,0.642149929,0.972573044,0.511761537,22.03779312,-20.90592334,-1.104435979,0.637783853
23,bagging_tanh_BorderlineSMOTE_xgb,0.974755416,0.60952381,0.67191601,0.639200999,0.970884569,0.188543724,6.825949892,-10.80139373,-1.55859183,0.463067544
35,bagging_tanh_AllKNN_xgb,0.977201258,0.677514793,0.601049869,0.636995828,0.97560267,0.439935356,18.74213966,-20.20905923,-1.898203564,0.951276862
13,tanh_SMOTE_xgb,0.972484277,0.567901235,0.724409449,0.636678201,0.962796396,-0.044891363,-0.468877705,-3.832752613,-1.947120312,-0.373862715
22,bagging_sigmoid_BorderlineSMOTE_xgb,0.974493361,0.605700713,0.669291339,0.635910224,0.971499056,0.161608906,6.155908861,-11.14982578,-2.065394006,0.526652059
33,tanh_AllKNN_xgb,0.976327743,0.651933702,0.619422572,0.63526245,0.970992715,0.350152631,14.25876374,-17.77003484,-2.165155857,0.474258026
18,bagging_sigmoid_NeighbourhoodCleaningRule_xgb,0.975716282,0.635883905,0.632545932,0.634210526,0.974647382,0.287304723,11.44585513,-16.02787456,-2.327159362,0.852427605
20,sigmoid_BorderlineSMOTE_xgb,0.974668064,0.611246944,0.656167979,0.632911392,0.968127679,0.179565452,7.127948681,-12.89198606,-2.527235037,0.177796145
19,bagging_tanh_NeighbourhoodCleaningRule_xgb,0.975541579,0.633245383,0.62992126,0.631578947,0.974413777,0.269348177,10.9834242,-16.37630662,-2.732440858,0.828255182
