,Column,Missing,Missing_p,Count,Type,Distinct,Most Popular,Mean,Std,Min,Max,Feat_type,Enrichment,Category,stage
0,number_of_jobs_had,51156,0.9,5459,Int32,27,1,5.051657813,3.868852054,0,31,numerical,TRUE,contact,1
1,current_position_job_type,51378,0.91,5237,boolean,2,FALSE,0.1456941,0.352832964,FALSE,TRUE,numerical,FALSE,contact,1
2,industry_enrichment,51672,0.91,4943,string,95,Information Technology (IT),,,,,categorical,TRUE,contact,1
3,previous_position,52252,0.92,4363,string,2525,Social media manager,,,,,categorical,TRUE,contact,1
4,previous_position_job_type,51156,0.9,5459,boolean,2,FALSE,0.063015204,0.243012564,FALSE,TRUE,numerical,FALSE,contact,1
5,number_of_educational_degrees,0,0,56615,Int32,5,0,0.138549854,0.55510641,0,4,numerical,TRUE,contact,1
6,years_of_education,52714,0.93,3901,Int32,13,18,17.77723661,1.709807202,9,24,numerical,TRUE,contact,1
7,max_education_school,52718,0.93,3897,string,921,Sapienza Università di Roma,,,,,categorical,TRUE,contact,1
8,current_company_size,52740,0.93,3875,Int32,1301,1,17267.54994,77968.0835,0,770241,numerical,TRUE,contact,1
9,current_company_location,53484,0.94,3131,string,4,italy,,,,,categorical,TRUE,contact,1
10,current_company_industry,52812,0.93,3803,string,213,IT Services and IT Consulting,,,,,categorical,TRUE,contact,1
11,hs_analytics_num_page_views,0,0,56615,Int32,103,0,0.733074274,7.49239463,0,445,numerical,FALSE,contact,1
12,hs_analytics_num_visits,0,0,56615,Int32,62,0,0.510518414,3.625438862,0,208,numerical,FALSE,contact,1
13,hs_analytics_num_event_completions,0,0,56615,Int32,4,0,0.009591098,0.117812641,0,3,numerical,FALSE,contact,1
14,hs_analytics_source,51156,0.9,5459,string,9,PAID_SOCIAL,,,,,categorical,FALSE,contact,1
15,hs_latest_source,51156,0.9,5459,string,9,PAID_SOCIAL,,,,,categorical,FALSE,contact,1
16,hs_email_bounce,0,0,56615,Int32,2,0,0.000476905,0.021833149,0,1,numerical,FALSE,contact,1
17,hs_email_click,0,0,56615,Int32,41,0,0.225381966,1.743212901,0,87,numerical,FALSE,contact,1
18,hs_email_open,0,0,56615,Int32,122,0,1.332456063,9.268829327,0,513,numerical,FALSE,contact,1
19,hs_email_replied,0,0,56615,int32,5,0,0.009449792,0.122094187,0,4,numerical,FALSE,contact,1
20,hs_email_sends_since_last_engagement,0,0,56615,Int32,38,0,0.395442904,2.180139564,0,43,numerical,FALSE,contact,1
21,hs_email_last_open_date,51908,0.92,4707,datetime64[ns],3348,13:55.8,,,,,categorical,FALSE,contact,1
22,hs_email_last_click_date,53474,0.94,3141,datetime64[ns],1972,22:00.1,,,,,categorical,FALSE,contact,1
23,hs_sales_email_last_replied,55771,0.99,844,datetime64[ns],383,04/04/2024 16:34,,,,,categorical,FALSE,contact,1
24,hs_sales_email_last_clicked,55913,0.99,702,datetime64[ns],317,12:03.4,,,,,categorical,FALSE,contact,1
25,hs_sales_email_last_opened,55478,0.98,1137,datetime64[ns],538,49:36.8,,,,,categorical,FALSE,contact,1
26,num_conversion_events,0,0,56615,Int32,28,0,0.340439813,1.697483186,0,51,numerical,FALSE,contact,1
27,num_unique_conversion_events,0,0,56615,Int32,23,0,0.29977921,1.413714795,0,28,numerical,FALSE,contact,1
28,hs_predictivecontactscore_v2,51742,0.91,4873,float64,1209,1.06,6.716527806,9.578019623,0.27,69.47,numerical,FALSE,contact,1
29,hs_predictivescoringtier,0,0,56615,int32,6,0,0.204398128,0.758865652,0,5,numerical,FALSE,contact,1
30,hs_social_last_engagement,56553,1,62,datetime64[ns],17,36:00.9,,,,,categorical,FALSE,contact,1
31,hs_social_num_broadcast_clicks,0,0,56615,Int32,2,0,0.000105979,0.010294155,0,1,numerical,FALSE,contact,1
32,hs_last_sales_activity_date,53813,0.95,2802,datetime64[ns],1523,37:28.5,,,,,categorical,FALSE,contact,1
33,hs_last_sales_activity_type,53828,0.95,2787,string,5,FORM_SUBMITTED,,,,,categorical,FALSE,contact,1
