Column,Missing,Missing_p,Count,Type,Distinct,Feat_type,stage,class,In use
number_of_jobs_had,39509.0,0.89,4958.0,Int32,27.0,numerical,1.0,interaction ,True
previous_position,0.0,0.0,44467.0,category,2873.0,categorical,1.0,contact,True
number_of_educational_degrees,0.0,0.0,44467.0,Int32,5.0,numerical,1.0,contact,True
years_of_education,41054.0,0.92,3413.0,Int32,13.0,numerical,1.0,contact,True
max_education_school,41059.0,0.92,3408.0,category,1071.0,categorical,1.0,contact,True
current_company_size,41068.0,0.92,3399.0,Int32,1511.0,numerical,1.0,contact,True
current_company_industry,41134.0,0.93,3333.0,category,220.0,categorical,1.0,contact,True
compare_date,0.0,0.0,44467.0,datetime64[ns],36971.0,date,,interaction ,False
compare_date_epoch,0.0,0.0,44467.0,int64,31909.0,numerical,1.0,interaction ,True
hs_analytics_num_page_views,0.0,0.0,44467.0,Int32,207.0,numerical,1.0,interaction ,True
hs_analytics_num_visits,0.0,0.0,44467.0,Int32,113.0,numerical,1.0,interaction ,True
hs_analytics_num_event_completions,0.0,0.0,44467.0,Int32,4.0,numerical,1.0,interaction ,True
hs_analytics_last_referrer,4159.0,0.09,40308.0,category,1450.0,categorical,2.0,interaction ,True
hs_analytics_first_referrer,7435.0,0.17,37032.0,category,927.0,categorical,2.0,interaction ,True
hs_email_bounce,0.0,0.0,44467.0,Int32,8.0,numerical,1.0,interaction ,True
hs_email_click,0.0,0.0,44467.0,Int32,62.0,numerical,1.0,interaction ,True
hs_email_open,0.0,0.0,44467.0,Int32,208.0,numerical,1.0,interaction ,True
hs_email_replied,0.0,0.0,44467.0,int32,9.0,numerical,1.0,interaction ,True
hs_email_sends_since_last_engagement,0.0,0.0,44467.0,Int32,49.0,numerical,1.0,interaction ,True
hs_email_last_open_date,11577.0,0.26,32890.0,datetime64[ns],32821.0,date,1.0,interaction ,True
hs_email_last_click_date,26409.0,0.59,18058.0,datetime64[ns],18020.0,date,1.0,interaction ,True
hs_sales_email_last_replied,41887.0,0.94,2580.0,datetime64[ns],2551.0,date,1.0,interaction ,True
hs_sales_email_last_clicked,42129.0,0.95,2338.0,datetime64[ns],2335.0,date,1.0,interaction ,True
hs_sales_email_last_opened,40522.0,0.91,3945.0,datetime64[ns],3937.0,date,1.0,interaction ,True
num_conversion_events,0.0,0.0,44467.0,Int32,40.0,numerical,1.0,interaction ,True
num_unique_conversion_events,0.0,0.0,44467.0,Int32,34.0,numerical,1.0,interaction ,True
hs_predictivecontactscore,,,,,,,,,
hs_predictivecontactscorebucket,,,,,,,,,
hs_predictivecontactscore_v2,1564.0,0.04,42903.0,float64,4267.0,numerical,1.0,interaction ,True
hs_social_last_engagement,44300.0,1.0,167.0,datetime64[ns],167.0,date,1.0,interaction ,True
hs_social_num_broadcast_clicks,0.0,0.0,44467.0,Int32,6.0,numerical,1.0,interaction ,True
hs_last_sales_activity_date,31650.0,0.71,12817.0,datetime64[ns],12789.0,date,1.0,interaction ,True
course_id,0.0,0.0,44467.0,Int64,129.0,numerical,1.0,class,True
class_size,0.0,0.0,44467.0,Int32,14.0,numerical,1.0,class,True
tuition_fee_amount,0.0,0.0,44467.0,float64,58.0,numerical,1.0,class,True
sku_tuition,117.0,0.0,44350.0,category,125.0,categorical,1.0,class,True
amount,0.0,0.0,44467.0,float64,220.0,numerical,1.0,class,True
num_associated_courses,0.0,0.0,44467.0,Int32,2.0,numerical,1.0,interaction ,True
motivation,0.0,0.0,44467.0,Float64,10.0,numerical,2.0,contact,True
italian_region,0.0,0.0,44467.0,category,158.0,categorical,0.0,contact,False
is_referred,0.0,0.0,44467.0,boolean,1.0,numerical,3.0,contact,True
review_analysis,0.0,0.0,44467.0,int32,2.0,numerical,3.0,interaction ,True
interview_canceled,0.0,0.0,44467.0,Int64,4.0,numerical,2.0,interaction ,True
interview_done,0.0,0.0,44467.0,Int64,4.0,numerical,2.0,interaction ,True
CONFIRMED,,,,,,,,,
interview_deleted,0.0,0.0,44467.0,Int64,5.0,numerical,2.0,interaction ,True
interview_no_show,0.0,0.0,44467.0,Int64,4.0,numerical,2.0,interaction ,True
interview_scheduled,0.0,0.0,44467.0,Int64,3.0,numerical,2.0,interaction ,True
n_calls,0.0,0.0,44467.0,float64,22.0,numerical,2.0,interaction ,True
n_calls_positive_outcome,0.0,0.0,44467.0,float64,12.0,numerical,2.0,interaction ,True
n_calls_negative_outcome,0.0,0.0,44467.0,float64,20.0,numerical,2.0,interaction ,True
n_inbound_calls,0.0,0.0,44467.0,float64,9.0,numerical,2.0,interaction ,True
n_outbound_calls,0.0,0.0,44467.0,float64,17.0,numerical,2.0,interaction ,True
total_call_duration,0.0,0.0,44467.0,Int64,752.0,numerical,2.0,interaction ,True
target,0.0,0.0,44467.0,int64,2.0,numerical,0.0,,False
brand_awareness_boolean,0.0,0.0,44467.0,int32,1.0,numerical,3.0,interaction ,True
motivation_boolean,0.0,0.0,44467.0,int32,1.0,numerical,2.0,contact,True
current_position_boolean,0.0,0.0,44467.0,int32,1.0,numerical,1.0,contact,True
region_enrichment_boolean,0.0,0.0,44467.0,int32,1.0,numerical,1.0,contact,True
is_employed_boolean,0.0,0.0,44467.0,int32,1.0,numerical,1.0,contact,True
current_company_boolean,0.0,0.0,44467.0,int32,1.0,numerical,1.0,contact,True
years_of_experience_enrichment_boolean,0.0,0.0,44467.0,int32,1.0,numerical,1.0,contact,True
feat_init_educational_level,41059.0,0.92,3408.0,category,7.0,categorical,1.0,contact,True
feat_final_educational_level,40127.0,0.9,4340.0,category,13.0,categorical,3.0,contact,True
max_education_level_boolean,0.0,0.0,44467.0,int32,1.0,numerical,1.0,contact,True
feat_init_education_field,41054.0,0.92,3413.0,category,35.0,categorical,1.0,contact,True
feat_final_education_field,0.0,0.0,44467.0,category,47.0,categorical,3.0,contact,True
max_education_field_of_study_boolean,0.0,0.0,44467.0,int32,1.0,numerical,1.0,contact,True
feat_init_jobtitle,,,,,,,,,
feat_final_jobtitle,,,,,,,,,
feat_init_country_name,39509.0,0.89,4958.0,category,79.0,categorical,1.0,contact,True
feat_final_country_name,38425.0,0.86,6042.0,object,84.0,categorical,3.0,contact,False
country_enrichment_boolean,0.0,0.0,44467.0,int32,1.0,numerical,1.0,contact,True
feat_init_currently_employed,0.0,0.0,44467.0,boolean,2.0,numerical,1.0,contact,True
feat_final_currently_employed,0.0,0.0,44467.0,boolean,2.0,numerical,3.0,contact,True
feat_init_company,41068.0,0.92,3399.0,category,2854.0,categorical,1.0,contact,True
feat_final_company,39886.0,0.9,4581.0,category,3791.0,categorical,3.0,contact,True
feat_init_years_of_topic_experience,0.0,0.0,44467.0,int32,10.0,numerical,1.0,contact,True
feat_final_years_of_topic_experience,0.0,0.0,44467.0,int32,10.0,numerical,3.0,contact,True
combined_profile,0.0,0.0,44467.0,float64,16.0,numerical,2.0,interaction ,True
combined_profile_boolean,0.0,0.0,44467.0,int32,1.0,numerical,2.0,interaction ,True
intake_Fall,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
intake_Spring,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
intake_Summer,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
intake_Winter,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
source_of_awareness_onboarding_event,0.0,0.0,44467.0,float64,2.0,numerical,3.0,interaction ,True
source_of_awareness_onboarding_facebook,0.0,0.0,44467.0,float64,2.0,numerical,3.0,interaction ,True
