,Column,Missing,Missing_p,Count,Type,Distinct,Most Popular,Mean,Std,Min,Max,Feat_type,T-stat,P-value,significance,Chi-square,D.Freedom,stage,class,In use
60,brand_awareness_boolean,0,0,57237,bool,2,FALSE,0.006097454,0.077848451,FALSE,TRUE,numerical,,,,,,,interaction ,FALSE
322,time_since_hs_sales_email_last_clicked,56508,0.99,729,float64,6,0,1.334705075,1.540805752,0,5,numerical,,,No,,,,interaction ,FALSE
321,time_since_hs_sales_email_last_replied,56377,0.98,860,float64,6,0,1.147674419,1.470804484,0,5,numerical,,,No,,,,interaction ,FALSE
323,time_since_hs_sales_email_last_opened,56057,0.98,1180,float64,6,0,1.124576271,1.510687762,0,5,numerical,,,No,,,,interaction ,FALSE
324,time_since_hs_last_sales_activity_date,54358,0.95,2879,float64,1,1,1,0,1,1,numerical,,,No,,,,interaction ,FALSE
327,industry_popularity,54250,0.95,2987,float64,8,0.005464481,0.039193518,0.044914801,0.005464481,0.142076503,numerical,,,No,,,2,contact,FALSE
320,time_since_hs_email_last_click_date,53991,0.94,3246,float64,6,0,1.422057917,1.745942305,0,5,numerical,,,No,,,,interaction ,FALSE
328,industry_popularity_all,53358,0.93,3879,float64,53,0.107501933,0.027882436,0.033201016,0.000257798,0.107501933,numerical,,,No,,,2,contact,FALSE
4,years_of_education,53248,0.93,3989,Int32,13,18,17.77463023,1.705527666,9,24,numerical,,,No,,,1,contact,FALSE
6,current_company_size,53286,0.93,3951,Int32,1330,1,17383.29613,78128.12811,0,770241,numerical,,,No,,,1,contact,FALSE
85,combined_profile_boolean,0,0,57237,bool,2,FALSE,0.056135018,0.230184281,FALSE,TRUE,numerical,,,,,,,interaction ,FALSE
319,time_since_hs_email_last_open_date,52415,0.92,4822,float64,6,0,0.886146827,1.593162025,0,5,numerical,,,No,,,,interaction ,FALSE
78,feat_init_currently_employed,51894,0.91,5343,boolean,2,TRUE,0.878345499,0.326916941,FALSE,TRUE,numerical,,,,,,1,contact,FALSE
79,feat_final_currently_employed,51890,0.91,5347,boolean,2,TRUE,0.87432205,0.331517054,FALSE,TRUE,numerical,,,,,,3,contact,FALSE
19,hs_email_last_open_date,52415,0.92,4822,datetime64[ns],3419,25:52.5,,,,,date,,,,,,1,interaction ,FALSE
20,hs_email_last_click_date,53991,0.94,3246,datetime64[ns],2039,22:00.1,,,,,date,,,,,,1,interaction ,FALSE
21,hs_sales_email_last_replied,56377,0.98,860,datetime64[ns],391,04/04/2024 16:34,,,,,date,,,,,,1,interaction ,FALSE
22,hs_sales_email_last_clicked,56508,0.99,729,datetime64[ns],327,12:03.4,,,,,date,,,,,,1,interaction ,FALSE
23,hs_sales_email_last_opened,56057,0.98,1180,datetime64[ns],558,49:36.8,,,,,date,,,,,,1,interaction ,FALSE
27,hs_social_last_engagement,57173,1,64,datetime64[ns],17,36:00.9,,,,,date,,,,,,1,interaction ,FALSE
29,hs_last_sales_activity_date,54358,0.95,2879,datetime64[ns],1561,37:28.5,,,,,date,,,,,,1,interaction ,FALSE
35,start_date,0,0,57237,datetime64[ns],99,10/07/2023 00:00,,,,,date,,,,,,1,class,FALSE
26,hs_predictivecontactscore_v2,52268,0.91,4969,float64,1229,1.06,6.514101429,9.353047068,0.27,81.01,numerical,,,No,,,1,interaction ,FALSE
1,number_of_jobs_had,51661,0.9,5576,Int32,27,1,5.034791966,3.856605779,0,31,numerical,,,No,,,1,interaction ,FALSE
329,field_of_study_popularity,342,0.01,56895,float64,13,0.889687019,0.832062636,0.218060421,0.000513084,0.889687019,numerical,,,No,,,2,contact,FALSE
45,brand_awareness,56888,0.99,349,string,2,Yes,,,,,categorical,,,,,,3,contact,FALSE
52,interview_cancelled,47396,0.83,9841,float64,1,0,0,0,0,0,numerical,,,No,,,,interaction ,FALSE
5,max_education_school,53252,0.93,3985,string,926,sapienza università di roma,,,,,categorical,,,,,,1,contact,FALSE
7,current_company_industry,53358,0.93,3879,string,213,it services and it consulting,,,,,categorical,,,,,,1,contact,FALSE
67,feat_init_educational_level,53252,0.93,3985,string,7,master's degree,,,,,categorical,,,,,,1,contact,FALSE
68,feat_final_educational_level,53185,0.93,4052,string,12,master's degree,,,,,categorical,,,,,,3,contact,FALSE
70,feat_init_education_field,53248,0.93,3989,string,34,Business and Economics,,,,,categorical,,,,,,1,contact,FALSE
84,combined_profile,0,0,57237,float64,16,0,0.410407603,1.72502379,0,10,numerical,-47.9659579,0,No,,,,interaction ,FALSE
80,feat_init_company,53286,0.93,3951,string,2440,Accenture,,,,,categorical,,,,,,1,contact,FALSE
81,feat_final_company,53221,0.93,4016,string,2486,accenture,,,,,categorical,,,,,,3,contact,FALSE
73,feat_init_current_job,51898,0.91,5339,string,2873,Project Manager,,,,,categorical,,,,,,1,contact,FALSE
76,feat_final_country_name,51661,0.9,5576,object,73,italy,,,,,categorical,,,,,,3,contact,FALSE
75,feat_init_country_name,51661,0.9,5576,string,72,italy,,,,,categorical,,,,,,1,contact,FALSE
61,motivation_boolean,0,0,57237,bool,2,FALSE,0.055803064,0.229543031,FALSE,TRUE,numerical,,,,,,2,contact,TRUE
62,current_position_boolean,0,0,57237,bool,2,FALSE,0.093278823,0.290825312,FALSE,TRUE,numerical,,,,,,1,contact,TRUE
63,region_enrichment_boolean,0,0,57237,bool,2,FALSE,0.079459091,0.270456322,FALSE,TRUE,numerical,,,,,,1,contact,TRUE
64,is_employed_boolean,0,0,57237,bool,2,FALSE,0.093348708,0.290923023,FALSE,TRUE,numerical,,,,,,1,contact,TRUE
65,current_company_boolean,0,0,57237,bool,2,FALSE,0.069028775,0.253505278,FALSE,TRUE,numerical,,,,,,1,contact,TRUE
66,years_of_experience_enrichment_boolean,0,0,57237,bool,2,FALSE,0.093278823,0.290825312,FALSE,TRUE,numerical,,,,,,1,contact,TRUE
69,max_education_level_boolean,0,0,57237,bool,2,FALSE,0.069622796,0.254512464,FALSE,TRUE,numerical,,,,,,1,contact,TRUE
72,max_education_field_of_study_boolean,0,0,57237,bool,2,FALSE,0.069692681,0.254630604,FALSE,TRUE,numerical,,,,,,1,contact,TRUE
77,country_enrichment_boolean,0,0,57237,bool,2,FALSE,0.097419501,0.296530738,FALSE,TRUE,numerical,,,,,,1,contact,TRUE
43,is_referred,0,0,57237,boolean,2,FALSE,0.001065744,0.032628622,FALSE,TRUE,numerical,,,,,,3,contact,TRUE
33,tuition_fee_amount,0,0,57237,float64,59,2900,2988.838473,2086.805619,0,10500,numerical,8.545245341,1.31E-17,No,,,1,class,TRUE
39,amount,0,0,57237,float64,275,0.0232,0.023995072,0.018657772,0,1,numerical,5.948651038,2.72E-09,No,,,1,class,TRUE
41,motivation,0,0,57237,Float64,10,0,0.201381973,0.855261254,0,5,numerical,-49.66317322,0,No,,,2,contact,TRUE
53,n_calls,0,0,57237,float64,18,0,0.328948058,1.017738456,0,18,numerical,-6.906965444,5.00E-12,No,,,2,interaction ,TRUE
54,n_calls_positive_outcome,0,0,57237,float64,11,0,0.111745899,0.480511113,0,11,numerical,-9.610362123,7.51E-22,No,,,2,interaction ,TRUE
55,n_calls_negative_outcome,0,0,57237,float64,16,0,0.217202159,0.776378126,0,17,numerical,-3.107500847,0.001887688,No,,,2,interaction ,TRUE
56,n_inbound_calls,0,0,57237,float64,12,0,0.026888202,0.239738712,0,11,numerical,-4.864873839,1.15E-06,No,,,2,interaction ,TRUE
57,n_outbound_calls,0,0,57237,float64,16,0,0.302059856,0.920172199,0,17,numerical,-6.371173647,1.89E-10,No,,,2,interaction ,TRUE
86,intake_Fall,0,0,57237,float64,2,0,0.352778797,0.477838787,0,1,numerical,-3.204513109,0.001353653,No,,,1,class,TRUE
87,intake_Spring,0,0,57237,float64,2,0,0.313084194,0.463752346,0,1,numerical,-1.977940112,0.047940251,No,,,1,class,TRUE
88,intake_Summer,0,0,57237,float64,2,0,0.00401838,0.063263752,0,1,numerical,-0.425567073,0.670424938,Yes,,,1,class,TRUE
